"state","year","barrels","percentage_total_barrels","state_name","id"
"AK",2008,134206.79,0.07,"Alaska","2"
"AL",2008,1166715.84,0.61,"Alabama","1"
"AR",2008,3417.91,0.0,"Arkansas","5"
"AZ",2008,40474.66,0.02,"Arizona","4"
"CA",2008,22149408.23,11.56,"California","6"
"CO",2008,26795857.25,13.98,"Colorado","8"
"CT",2008,8043.24,0.0,"Connecticut","9"
"DC",2008,1169525.08,0.61,"District of Columbia","11"
"DE",2008,85091.87,0.04,"Delaware","10"
"FL",2008,9497348.84,4.95,"Florida","12"
"GA",2008,14876026.67,7.76,"Georgia","13"
"HI",2008,18279.07,0.01,"Hawaii","15"
"IA",2008,10882.43,0.01,"Iowa","19"
"ID",2008,14375.57,0.01,"Idaho","16"
"IL",2008,793396.36,0.41,"Illinois","17"
"IN",2008,27505.18,0.01,"Indiana","18"
"KS",2008,9657.23,0.01,"Kansas","20"
"KY",2008,86750.81,0.05,"Kentucky","21"
"LA",2008,82888.25,0.04,"Louisiana","22"
"MA",2008,141228.3,0.07,"Massachusetts","25"
"MD",2008,78067.99,0.04,"Maryland","24"
"ME",2008,124561.97,0.06,"Maine","23"
"MI",2008,179731.46,0.09,"Michigan","26"
"MN",2008,294583.56,0.15,"Minnesota","27"
"MO",2008,15666713.71,8.17,"Missouri","29"
"MS",2008,1170116.95,0.61,"Mississippi","28"
"MT",2008,70886.52,0.04,"Montana","30"
"NC",2008,7566564.64,3.95,"North Carolina","37"
"ND",2008,2332318.28,1.22,"North Dakota","38"
"NE",2008,9243.65,0.0,"Nebraska","31"
"NH",2008,3122250.3,1.63,"New Hampshire","33"
"NJ",2008,7094891.91,3.7,"New Jersey","34"
"NM",2008,17676.37,0.01,"New Mexico","35"
"NV",2008,30497.2,0.02,"Nevada","32"
"NY",2008,7759158.01,4.05,"New York","36"
"OH",2008,19731990.02,10.29,"Ohio","39"
"OK",2008,5242.08,0.0,"Oklahoma","40"
"OR",2008,847102.63,0.44,"Oregon","41"
"PA",2008,3031892.75,1.58,"Pennsylvania","42"
"RI",2008,3365.31,0.0,"Rhode Island","44"
"SC",2008,12920.17,0.01,"South Carolina","45"
"SD",2008,1167286.8,0.61,"South Dakota","46"
"TN",2008,22539.97,0.01,"Tennessee","47"
"TX",2008,19775713.19,10.32,"Texas","48"
"UT",2008,55864.65,0.03,"Utah","49"
"VA",2008,15520689.97,8.1,"Virginia","51"
"VT",2008,293983.25,0.15,"Vermont","50"
"WA",2008,313106.04,0.16,"Washington","53"
"WI",2008,8257468.16,4.31,"Wisconsin","55"
"WV",2008,3541.32,0.0,"West Virginia","54"
"WY",2008,6791.7,0.0,"Wyoming","56"
"AK",2009,144303.86,0.08,"Alaska","2"
"AL",2009,1166533.46,0.62,"Alabama","1"
"AR",2009,3630.55,0.0,"Arkansas","5"
"AZ",2009,41327.14,0.02,"Arizona","4"
"CA",2009,21578008.66,11.41,"California","6"
"CO",2009,23430824.16,12.38,"Colorado","8"
"CT",2009,10699.41,0.01,"Connecticut","9"
"DC",2009,1169413.2,0.62,"District of Columbia","11"
"DE",2009,113509.11,0.06,"Delaware","10"
"FL",2009,10332508.88,5.46,"Florida","12"
"GA",2009,15691960.09,8.29,"Georgia","13"
"HI",2009,20026.54,0.01,"Hawaii","15"
"IA",2009,11836.17,0.01,"Iowa","19"
"ID",2009,14759.12,0.01,"Idaho","16"
"IL",2009,984684.43,0.52,"Illinois","17"
"IN",2009,33638.73,0.02,"Indiana","18"
"KS",2009,10697.21,0.01,"Kansas","20"
"KY",2009,87911.83,0.05,"Kentucky","21"
"LA",2009,94827.22,0.05,"Louisiana","22"
"MA",2009,160403.23,0.08,"Massachusetts","25"
"MD",2009,80455.15,0.04,"Maryland","24"
"ME",2009,127199.43,0.07,"Maine","23"
"MI",2009,213342.23,0.11,"Michigan","26"
"MN",2009,296580.23,0.16,"Minnesota","27"
"MO",2009,14825536.84,7.84,"Missouri","29"
"MS",2009,7112.45,0.0,"Mississippi","28"
"MT",2009,73975.47,0.04,"Montana","30"
"NC",2009,7911036.07,4.18,"North Carolina","37"
"ND",2009,2332296.57,1.23,"North Dakota","38"
"NE",2009,11674.58,0.01,"Nebraska","31"
"NH",2009,3161261.8,1.67,"New Hampshire","33"
"NJ",2009,7014532.57,3.71,"New Jersey","34"
"NM",2009,23053.16,0.01,"New Mexico","35"
"NV",2009,28687.4,0.02,"Nevada","32"
"NY",2009,6969968.51,3.68,"New York","36"
"OH",2009,19823854.17,10.48,"Ohio","39"
"OK",2009,7484.81,0.0,"Oklahoma","40"
"OR",2009,930507.46,0.49,"Oregon","41"
"PA",2009,3240149.11,1.71,"Pennsylvania","42"
"RI",2009,3198.41,0.0,"Rhode Island","44"
"SC",2009,13827.27,0.01,"South Carolina","45"
"SD",2009,1167254.23,0.62,"South Dakota","46"
"TN",2009,23058.52,0.01,"Tennessee","47"
"TX",2009,20161027.63,10.66,"Texas","48"
"UT",2009,54471.86,0.03,"Utah","49"
"VA",2009,14670255.24,7.75,"Virginia","51"
"VT",2009,307221.74,0.16,"Vermont","50"
"WA",2009,299050.86,0.16,"Washington","53"
"WI",2009,10301698.61,5.45,"Wisconsin","55"
"WV",2009,2537.47,0.0,"West Virginia","54"
"WY",2009,6860.04,0.0,"Wyoming","56"
"AK",2010,137213.68,0.07,"Alaska","2"
"AL",2010,1166543.91,0.63,"Alabama","1"
"AR",2010,4095.84,0.0,"Arkansas","5"
"AZ",2010,51591.02,0.03,"Arizona","4"
"CA",2010,21352469.75,11.49,"California","6"
"CO",2010,21072663.56,11.34,"Colorado","8"
"CT",2010,13634.27,0.01,"Connecticut","9"
"DC",2010,1169594.04,0.63,"District of Columbia","11"
"DE",2010,140179.8,0.08,"Delaware","10"
"FL",2010,10487167.71,5.64,"Florida","12"
"GA",2010,14844298.45,7.99,"Georgia","13"
"HI",2010,24687.57,0.01,"Hawaii","15"
"IA",2010,14195.45,0.01,"Iowa","19"
"ID",2010,17067.46,0.01,"Idaho","16"
"IL",2010,1018338.45,0.55,"Illinois","17"
"IN",2010,47370.28,0.03,"Indiana","18"
"KS",2010,15574.64,0.01,"Kansas","20"
"KY",2010,81894.25,0.04,"Kentucky","21"
"LA",2010,116933.95,0.06,"Louisiana","22"
"MA",2010,182705.99,0.1,"Massachusetts","25"
"MD",2010,99676.12,0.05,"Maryland","24"
"ME",2010,153625.63,0.08,"Maine","23"
"MI",2010,271135.95,0.15,"Michigan","26"
"MN",2010,300340.98,0.16,"Minnesota","27"
"MO",2010,13651924.27,7.34,"Missouri","29"
"MS",2010,10459.79,0.01,"Mississippi","28"
"MT",2010,86880.16,0.05,"Montana","30"
"NC",2010,7867825.83,4.23,"North Carolina","37"
"ND",2010,2332401.57,1.25,"North Dakota","38"
"NE",2010,16031.29,0.01,"Nebraska","31"
"NH",2010,3231805.67,1.74,"New Hampshire","33"
"NJ",2010,7470907.48,4.02,"New Jersey","34"
"NM",2010,29747.48,0.02,"New Mexico","35"
"NV",2010,31300.11,0.02,"Nevada","32"
"NY",2010,6971749.68,3.75,"New York","36"
"OH",2010,20314244.66,10.93,"Ohio","39"
"OK",2010,8913.3,0.0,"Oklahoma","40"
"OR",2010,1028220.51,0.55,"Oregon","41"
"PA",2010,3710529.1,2.0,"Pennsylvania","42"
"RI",2010,5638.28,0.0,"Rhode Island","44"
"SC",2010,16997.09,0.01,"South Carolina","45"
"SD",2010,1870.22,0.0,"South Dakota","46"
"TN",2010,26734.55,0.01,"Tennessee","47"
"TX",2010,20139848.07,10.84,"Texas","48"
"UT",2010,63103.11,0.03,"Utah","49"
"VA",2010,13974504.62,7.52,"Virginia","51"
"VT",2010,357319.79,0.19,"Vermont","50"
"WA",2010,344398.8,0.19,"Washington","53"
"WI",2010,11387276.4,6.13,"Wisconsin","55"
"WV",2010,3159.13,0.0,"West Virginia","54"
"WY",2010,8183.48,0.0,"Wyoming","56"
"AK",2011,155552.25,0.09,"Alaska","2"
"AL",2011,2469.02,0.0,"Alabama","1"
"AR",2011,3651.21,0.0,"Arkansas","5"
"AZ",2011,66804.31,0.04,"Arizona","4"
"CA",2011,20435612.9,11.33,"California","6"
"CO",2011,21158332.57,11.73,"Colorado","8"
"CT",2011,16143.13,0.01,"Connecticut","9"
"DC",2011,3374.93,0.0,"District of Columbia","11"
"DE",2011,170173.57,0.09,"Delaware","10"
"FL",2011,10675121.45,5.92,"Florida","12"
"GA",2011,15187089.67,8.42,"Georgia","13"
"HI",2011,34176.87,0.02,"Hawaii","15"
"IA",2011,17306.71,0.01,"Iowa","19"
"ID",2011,19462.87,0.01,"Idaho","16"
"IL",2011,997488.49,0.55,"Illinois","17"
"IN",2011,66918.53,0.04,"Indiana","18"
"KS",2011,22964.38,0.01,"Kansas","20"
"KY",2011,72621.24,0.04,"Kentucky","21"
"LA",2011,136121.43,0.08,"Louisiana","22"
"MA",2011,221097.91,0.12,"Massachusetts","25"
"MD",2011,119934.7,0.07,"Maryland","24"
"ME",2011,199224.37,0.11,"Maine","23"
"MI",2011,370620.74,0.21,"Michigan","26"
"MN",2011,369906.81,0.21,"Minnesota","27"
"MO",2011,13411890.25,7.43,"Missouri","29"
"MS",2011,13517.58,0.01,"Mississippi","28"
"MT",2011,101221.28,0.06,"Montana","30"
"NC",2011,7632201.57,4.23,"North Carolina","37"
"ND",2011,2332442.34,1.29,"North Dakota","38"
"NE",2011,18998.23,0.01,"Nebraska","31"
"NH",2011,3104854.52,1.72,"New Hampshire","33"
"NJ",2011,6473745.77,3.59,"New Jersey","34"
"NM",2011,38113.77,0.02,"New Mexico","35"
"NV",2011,25481.58,0.01,"Nevada","32"
"NY",2011,6398720.65,3.55,"New York","36"
"OH",2011,20208667.96,11.2,"Ohio","39"
"OK",2011,9972.98,0.01,"Oklahoma","40"
"OR",2011,1162770.3,0.64,"Oregon","41"
"PA",2011,4241735.34,2.35,"Pennsylvania","42"
"RI",2011,5964.31,0.0,"Rhode Island","44"
"SC",2011,25578.92,0.01,"South Carolina","45"
"SD",2011,2486.65,0.0,"South Dakota","46"
"TN",2011,28351.16,0.02,"Tennessee","47"
"TX",2011,20097795.6,11.14,"Texas","48"
"UT",2011,80264.23,0.04,"Utah","49"
"VA",2011,13709452.53,7.6,"Virginia","51"
"VT",2011,384472.42,0.21,"Vermont","50"
"WA",2011,358348.2,0.2,"Washington","53"
"WI",2011,10003428.51,5.54,"Wisconsin","55"
"WV",2011,3385.31,0.0,"West Virginia","54"
"WY",2011,10150.63,0.01,"Wyoming","56"
"AK",2012,173407.88,0.09,"Alaska","2"
"AL",2012,8985.74,0.0,"Alabama","1"
"AR",2012,1399.87,0.0,"Arkansas","5"
"AZ",2012,82369.93,0.05,"Arizona","4"
"CA",2012,21277284.93,11.64,"California","6"
"CO",2012,21616668.84,11.83,"Colorado","8"
"CT",2012,15098.05,0.01,"Connecticut","9"
"DC",2012,7558.05,0.0,"District of Columbia","11"
"DE",2012,197736.4,0.11,"Delaware","10"
"FL",2012,11034291.18,6.04,"Florida","12"
"GA",2012,15485214.08,8.47,"Georgia","13"
"HI",2012,34825.98,0.02,"Hawaii","15"
"IA",2012,19397.32,0.01,"Iowa","19"
"ID",2012,25806.18,0.01,"Idaho","16"
"IL",2012,870670.83,0.48,"Illinois","17"
"IN",2012,94651.3,0.05,"Indiana","18"
"KS",2012,22127.53,0.01,"Kansas","20"
"KY",2012,87285.47,0.05,"Kentucky","21"
"LA",2012,156162.25,0.09,"Louisiana","22"
"MA",2012,249439.08,0.14,"Massachusetts","25"
"MD",2012,128532.53,0.07,"Maryland","24"
"ME",2012,228814.81,0.13,"Maine","23"
"MI",2012,495463.28,0.27,"Michigan","26"
"MN",2012,359990.48,0.2,"Minnesota","27"
"MO",2012,13842109.33,7.58,"Missouri","29"
"MS",2012,14573.71,0.01,"Mississippi","28"
"MT",2012,108485.36,0.06,"Montana","30"
"NC",2012,7808382.32,4.27,"North Carolina","37"
"ND",2012,2332487.65,1.28,"North Dakota","38"
"NE",2012,19621.8,0.01,"Nebraska","31"
"NH",2012,3299032.03,1.81,"New Hampshire","33"
"NJ",2012,5081018.95,2.78,"New Jersey","34"
"NM",2012,43842.92,0.02,"New Mexico","35"
"NV",2012,23972.83,0.01,"Nevada","32"
"NY",2012,7519018.11,4.11,"New York","36"
"OH",2012,19119681.66,10.46,"Ohio","39"
"OK",2012,10732.39,0.01,"Oklahoma","40"
"OR",2012,1258480.56,0.69,"Oregon","41"
"PA",2012,4613268.62,2.52,"Pennsylvania","42"
"RI",2012,6842.13,0.0,"Rhode Island","44"
"SC",2012,31640.19,0.02,"South Carolina","45"
"SD",2012,2914.65,0.0,"South Dakota","46"
"TN",2012,418767.71,0.23,"Tennessee","47"
"TX",2012,19094530.42,10.45,"Texas","48"
"UT",2012,109858.94,0.06,"Utah","49"
"VA",2012,14594255.87,7.99,"Virginia","51"
"VT",2012,374337.29,0.2,"Vermont","50"
"WA",2012,374410.41,0.2,"Washington","53"
"WI",2012,9941958.41,5.44,"Wisconsin","55"
"WV",2012,3739.84,0.0,"West Virginia","54"
"WY",2012,11860.53,0.01,"Wyoming","56"
"AK",2013,183031.77,0.1,"Alaska","2"
"AL",2013,18512.72,0.01,"Alabama","1"
"AR",2013,1644.35,0.0,"Arkansas","5"
"AZ",2013,100156.21,0.06,"Arizona","4"
"CA",2013,20288089.76,11.39,"California","6"
"CO",2013,20786350.24,11.67,"Colorado","8"
"CT",2013,43805.99,0.02,"Connecticut","9"
"DC",2013,11731.46,0.01,"District of Columbia","11"
"DE",2013,226654.4,0.13,"Delaware","10"
"FL",2013,10788489.82,6.06,"Florida","12"
"GA",2013,15231622.61,8.55,"Georgia","13"
"HI",2013,33288.65,0.02,"Hawaii","15"
"IA",2013,24766.89,0.01,"Iowa","19"
"ID",2013,31063.39,0.02,"Idaho","16"
"IL",2013,1038729.59,0.58,"Illinois","17"
"IN",2013,112379.86,0.06,"Indiana","18"
"KS",2013,24768.37,0.01,"Kansas","20"
"KY",2013,104317.11,0.06,"Kentucky","21"
"LA",2013,166118.6,0.09,"Louisiana","22"
"MA",2013,266433.94,0.15,"Massachusetts","25"
"MD",2013,150409.74,0.08,"Maryland","24"
"ME",2013,241521.54,0.14,"Maine","23"
"MI",2013,528592.83,0.3,"Michigan","26"
"MN",2013,398404.77,0.22,"Minnesota","27"
"MO",2013,13541336.02,7.6,"Missouri","29"
"MS",2013,16951.22,0.01,"Mississippi","28"
"MT",2013,114920.21,0.06,"Montana","30"
"NC",2013,7525923.51,4.23,"North Carolina","37"
"ND",2013,2098.23,0.0,"North Dakota","38"
"NE",2013,12306.42,0.01,"Nebraska","31"
"NH",2013,3242271.27,1.82,"New Hampshire","33"
"NJ",2013,4713115.71,2.65,"New Jersey","34"
"NM",2013,47073.31,0.03,"New Mexico","35"
"NV",2013,24876.81,0.01,"Nevada","32"
"NY",2013,7865985.68,4.42,"New York","36"
"OH",2013,18384639.73,10.32,"Ohio","39"
"OK",2013,10363.48,0.01,"Oklahoma","40"
"OR",2013,1390463.92,0.78,"Oregon","41"
"PA",2013,5210510.58,2.93,"Pennsylvania","42"
"RI",2013,10186.52,0.01,"Rhode Island","44"
"SC",2013,38540.72,0.02,"South Carolina","45"
"SD",2013,3447.7,0.0,"South Dakota","46"
"TN",2013,602069.79,0.34,"Tennessee","47"
"TX",2013,19420798.64,10.91,"Texas","48"
"UT",2013,130191.72,0.07,"Utah","49"
"VA",2013,14038364.37,7.88,"Virginia","51"
"VT",2013,372976.42,0.21,"Vermont","50"
"WA",2013,418246.64,0.23,"Washington","53"
"WI",2013,10129311.33,5.69,"Wisconsin","55"
"WV",2013,5035.6,0.0,"West Virginia","54"
"WY",2013,13516.76,0.01,"Wyoming","56"
"AK",2014,205120.33,0.12,"Alaska","2"
"AL",2014,23497.47,0.01,"Alabama","1"
"AR",2014,4244.69,0.0,"Arkansas","5"
"AZ",2014,127032.11,0.07,"Arizona","4"
"CA",2014,20447937.47,11.53,"California","6"
"CO",2014,20316240.1,11.45,"Colorado","8"
"CT",2014,86225.33,0.05,"Connecticut","9"
"DC",2014,17105.83,0.01,"District of Columbia","11"
"DE",2014,252615.88,0.14,"Delaware","10"
"FL",2014,10687665.97,6.03,"Florida","12"
"GA",2014,14423428.43,8.13,"Georgia","13"
"HI",2014,36002.39,0.02,"Hawaii","15"
"IA",2014,35216.39,0.02,"Iowa","19"
"ID",2014,36770.21,0.02,"Idaho","16"
"IL",2014,1183623.97,0.67,"Illinois","17"
"IN",2014,131175.53,0.07,"Indiana","18"
"KS",2014,30732.47,0.02,"Kansas","20"
"KY",2014,117144.0,0.07,"Kentucky","21"
"LA",2014,180407.99,0.1,"Louisiana","22"
"MA",2014,272516.74,0.15,"Massachusetts","25"
"MD",2014,169797.03,0.1,"Maryland","24"
"ME",2014,255640.85,0.14,"Maine","23"
"MI",2014,748711.49,0.42,"Michigan","26"
"MN",2014,453098.64,0.26,"Minnesota","27"
"MO",2014,13272023.0,7.48,"Missouri","29"
"MS",2014,21136.06,0.01,"Mississippi","28"
"MT",2014,129535.15,0.07,"Montana","30"
"NC",2014,7301947.41,4.12,"North Carolina","37"
"ND",2014,5311.89,0.0,"North Dakota","38"
"NE",2014,30142.8,0.02,"Nebraska","31"
"NH",2014,3119578.68,1.76,"New Hampshire","33"
"NJ",2014,4770147.09,2.69,"New Jersey","34"
"NM",2014,61494.17,0.03,"New Mexico","35"
"NV",2014,30642.09,0.02,"Nevada","32"
"NY",2014,7384877.51,4.16,"New York","36"
"OH",2014,18701264.71,10.54,"Ohio","39"
"OK",2014,14190.27,0.01,"Oklahoma","40"
"OR",2014,1549637.24,0.87,"Oregon","41"
"PA",2014,5521786.71,3.11,"Pennsylvania","42"
"RI",2014,10487.74,0.01,"Rhode Island","44"
"SC",2014,44105.63,0.02,"South Carolina","45"
"SD",2014,4083.67,0.0,"South Dakota","46"
"TN",2014,766656.17,0.43,"Tennessee","47"
"TX",2014,19911750.64,11.23,"Texas","48"
"UT",2014,158911.15,0.09,"Utah","49"
"VA",2014,13320192.09,7.51,"Virginia","51"
"VT",2014,354325.76,0.2,"Vermont","50"
"WA",2014,456539.56,0.26,"Washington","53"
"WI",2014,10184621.47,5.74,"Wisconsin","55"
"WV",2014,5624.58,0.0,"West Virginia","54"
"WY",2014,13960.19,0.01,"Wyoming","56"
"AK",2015,205426.98,0.12,"Alaska","2"
"AL",2015,28118.22,0.02,"Alabama","1"
"AR",2015,9447.32,0.01,"Arkansas","5"
"AZ",2015,148899.89,0.08,"Arizona","4"
"CA",2015,20047254.13,11.39,"California","6"
"CO",2015,19960257.58,11.34,"Colorado","8"
"CT",2015,131654.5,0.07,"Connecticut","9"
"DC",2015,25354.77,0.01,"District of Columbia","11"
"DE",2015,265838.78,0.15,"Delaware","10"
"FL",2015,11126546.52,6.32,"Florida","12"
"GA",2015,13351092.85,7.58,"Georgia","13"
"HI",2015,47199.33,0.03,"Hawaii","15"
"IA",2015,40074.26,0.02,"Iowa","19"
"ID",2015,45931.74,0.03,"Idaho","16"
"IL",2015,1437772.58,0.82,"Illinois","17"
"IN",2015,154734.77,0.09,"Indiana","18"
"KS",2015,33716.51,0.02,"Kansas","20"
"KY",2015,137731.49,0.08,"Kentucky","21"
"LA",2015,188208.42,0.11,"Louisiana","22"
"MA",2015,308775.59,0.18,"Massachusetts","25"
"MD",2015,195823.31,0.11,"Maryland","24"
"ME",2015,269120.17,0.15,"Maine","23"
"MI",2015,928691.38,0.53,"Michigan","26"
"MN",2015,504622.46,0.29,"Minnesota","27"
"MO",2015,13393356.88,7.61,"Missouri","29"
"MS",2015,23990.35,0.01,"Mississippi","28"
"MT",2015,150795.77,0.09,"Montana","30"
"NC",2015,7384627.16,4.19,"North Carolina","37"
"ND",2015,7670.22,0.0,"North Dakota","38"
"NE",2015,27554.47,0.02,"Nebraska","31"
"NH",2015,3212845.49,1.83,"New Hampshire","33"
"NJ",2015,3663908.76,2.08,"New Jersey","34"
"NM",2015,70861.52,0.04,"New Mexico","35"
"NV",2015,32888.62,0.02,"Nevada","32"
"NY",2015,7852161.17,4.46,"New York","36"
"OH",2015,19718831.14,11.2,"Ohio","39"
"OK",2015,21460.78,0.01,"Oklahoma","40"
"OR",2015,1666770.46,0.95,"Oregon","41"
"PA",2015,5341730.46,3.03,"Pennsylvania","42"
"RI",2015,10523.98,0.01,"Rhode Island","44"
"SC",2015,55140.17,0.03,"South Carolina","45"
"SD",2015,5166.11,0.0,"South Dakota","46"
"TN",2015,1179493.48,0.67,"Tennessee","47"
"TX",2015,19251114.9,10.94,"Texas","48"
"UT",2015,176776.43,0.1,"Utah","49"
"VA",2015,12244671.99,6.96,"Virginia","51"
"VT",2015,364597.51,0.21,"Vermont","50"
"WA",2015,500213.57,0.28,"Washington","53"
"WI",2015,10062765.2,5.72,"Wisconsin","55"
"WV",2015,10354.63,0.01,"West Virginia","54"
"WY",2015,18484.84,0.01,"Wyoming","56"
"AK",2016,198613.46,0.11,"Alaska","2"
"AL",2016,45634.47,0.03,"Alabama","1"
"AR",2016,16887.29,0.01,"Arkansas","5"
"AZ",2016,172509.43,0.1,"Arizona","4"
"CA",2016,19936208.6,11.43,"California","6"
