tax_status,year,month,type,month_current,tax_rate
Taxable,2008,1,In bottles and cans,13222104,$7/$18 per barrel
Taxable,2008,1,In barrels and kegs,1371239,$7/$18 per barrel
Taxable,2008,1,"Tax Determined, Premises Use",7426,$7/$18 per barrel
Tax Free,2008,1,For export,262985,$7/$18 per barrel
Tax Free,2008,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,1,Consumed on brewery premises,708,$7/$18 per barrel
Taxable,2008,2,In bottles and cans,13051864,$7/$18 per barrel
Taxable,2008,2,In barrels and kegs,1250974,$7/$18 per barrel
Taxable,2008,2,"Tax Determined, Premises Use",7558,$7/$18 per barrel
Tax Free,2008,2,For export,286593,$7/$18 per barrel
Tax Free,2008,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,2,Consumed on brewery premises,671,$7/$18 per barrel
Taxable,2008,3,In bottles and cans,13901582,$7/$18 per barrel
Taxable,2008,3,In barrels and kegs,1449849,$7/$18 per barrel
Taxable,2008,3,"Tax Determined, Premises Use",88816,$7/$18 per barrel
Tax Free,2008,3,For export,309529,$7/$18 per barrel
Tax Free,2008,3,For vessels and aircraft,3,$7/$18 per barrel
Tax Free,2008,3,Consumed on brewery premises,7417,$7/$18 per barrel
Taxable,2008,4,In bottles and cans,14361125,$7/$18 per barrel
Taxable,2008,4,In barrels and kegs,1457124,$7/$18 per barrel
Taxable,2008,4,"Tax Determined, Premises Use",8561,$7/$18 per barrel
Tax Free,2008,4,For export,361949,$7/$18 per barrel
Tax Free,2008,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,4,Consumed on brewery premises,821,$7/$18 per barrel
Taxable,2008,5,In bottles and cans,15421462,$7/$18 per barrel
Taxable,2008,5,In barrels and kegs,1489290,$7/$18 per barrel
Taxable,2008,5,"Tax Determined, Premises Use",8720,$7/$18 per barrel
Tax Free,2008,5,For export,356217,$7/$18 per barrel
Tax Free,2008,5,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,5,Consumed on brewery premises,1112,$7/$18 per barrel
Taxable,2008,6,In bottles and cans,15232754,$7/$18 per barrel
Taxable,2008,6,In barrels and kegs,1609215,$7/$18 per barrel
Taxable,2008,6,"Tax Determined, Premises Use",94611,$7/$18 per barrel
Tax Free,2008,6,For export,393200,$7/$18 per barrel
Tax Free,2008,6,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,6,Consumed on brewery premises,7671,$7/$18 per barrel
Taxable,2008,7,In bottles and cans,15146751,$7/$18 per barrel
Taxable,2008,7,In barrels and kegs,1508853,$7/$18 per barrel
Taxable,2008,7,"Tax Determined, Premises Use",7379,$7/$18 per barrel
Tax Free,2008,7,For export,386143,$7/$18 per barrel
Tax Free,2008,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,7,Consumed on brewery premises,1107,$7/$18 per barrel
Taxable,2008,8,In bottles and cans,14973940,$7/$18 per barrel
Taxable,2008,8,In barrels and kegs,1470549,$7/$18 per barrel
Taxable,2008,8,"Tax Determined, Premises Use",6700,$7/$18 per barrel
Tax Free,2008,8,For export,343909,$7/$18 per barrel
Tax Free,2008,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,8,Consumed on brewery premises,989,$7/$18 per barrel
Taxable,2008,9,In bottles and cans,14425354,$7/$18 per barrel
Taxable,2008,9,In barrels and kegs,1549416,$7/$18 per barrel
Taxable,2008,9,"Tax Determined, Premises Use",99250,$7/$18 per barrel
Tax Free,2008,9,For export,339918,$7/$18 per barrel
Tax Free,2008,9,For vessels and aircraft,101,$7/$18 per barrel
Tax Free,2008,9,Consumed on brewery premises,8688,$7/$18 per barrel
Taxable,2008,10,In bottles and cans,13544598,$7/$18 per barrel
Taxable,2008,10,In barrels and kegs,1407315,$7/$18 per barrel
Taxable,2008,10,"Tax Determined, Premises Use",7430,$7/$18 per barrel
Tax Free,2008,10,For export,358387,$7/$18 per barrel
Tax Free,2008,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,10,Consumed on brewery premises,806,$7/$18 per barrel
Taxable,2008,11,In bottles and cans,11895613,$7/$18 per barrel
Taxable,2008,11,In barrels and kegs,1230087,$7/$18 per barrel
Taxable,2008,11,"Tax Determined, Premises Use",6424,$7/$18 per barrel
Tax Free,2008,11,For export,363547,$7/$18 per barrel
Tax Free,2008,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,11,Consumed on brewery premises,619,$7/$18 per barrel
Taxable,2008,12,In bottles and cans,11670121,$7/$18 per barrel
Taxable,2008,12,In barrels and kegs,1419144,$7/$18 per barrel
Taxable,2008,12,"Tax Determined, Premises Use",86744,$7/$18 per barrel
Tax Free,2008,12,For export,333236,$7/$18 per barrel
Tax Free,2008,12,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2008,12,Consumed on brewery premises,6771,$7/$18 per barrel
Taxable,2009,1,In bottles and cans,13081831,$7/$18 per barrel
Taxable,2009,1,In barrels and kegs,1230788,$7/$18 per barrel
Taxable,2009,1,"Tax Determined, Premises Use",6033,$7/$18 per barrel
Tax Free,2009,1,For export,334415,$7/$18 per barrel
Tax Free,2009,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,1,Consumed on brewery premises,619,$7/$18 per barrel
Taxable,2009,2,In bottles and cans,12739731,$7/$18 per barrel
Taxable,2009,2,In barrels and kegs,1290827,$7/$18 per barrel
Taxable,2009,2,"Tax Determined, Premises Use",5934,$7/$18 per barrel
Tax Free,2009,2,For export,262123,$7/$18 per barrel
Tax Free,2009,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,2,Consumed on brewery premises,467,$7/$18 per barrel
Taxable,2009,3,In bottles and cans,14167308,$7/$18 per barrel
Taxable,2009,3,In barrels and kegs,1497154,$7/$18 per barrel
Taxable,2009,3,"Tax Determined, Premises Use",82923,$7/$18 per barrel
Tax Free,2009,3,For export,300475,$7/$18 per barrel
Tax Free,2009,3,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,3,Consumed on brewery premises,6980,$7/$18 per barrel
Taxable,2009,4,In bottles and cans,14384698,$7/$18 per barrel
Taxable,2009,4,In barrels and kegs,1504016,$7/$18 per barrel
Taxable,2009,4,"Tax Determined, Premises Use",5798,$7/$18 per barrel
Tax Free,2009,4,For export,295526,$7/$18 per barrel
Tax Free,2009,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,4,Consumed on brewery premises,768,$7/$18 per barrel
Taxable,2009,5,In bottles and cans,15393903,$7/$18 per barrel
Taxable,2009,5,In barrels and kegs,1474095,$7/$18 per barrel
Taxable,2009,5,"Tax Determined, Premises Use",5763,$7/$18 per barrel
Tax Free,2009,5,For export,338519,$7/$18 per barrel
Tax Free,2009,5,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,5,Consumed on brewery premises,862,$7/$18 per barrel
