year,brewer_size,n_of_brewers,total_barrels,taxable_removals,total_shipped
2009,"6,000,001 Barrels and Over",18,171232881.59,159643984.23,3639970.0
2009,"1,000,000 to 6,000,000 Barrels",4,9970404.28,9592722.75,14548.0
2009,"500,001 to 1,000,000 Barrels",7,4831385.68,4535659.48,21563.0
2009,"100,001 to 500,000 Barrels",27,5422155.72,4469288.93,128000.0
2009,"60,001 to 100,000 Barrels",19,1501976.56,1224618.44,95732.0
2009,"30,001 to 60,000 Barrels",32,1412244.73,1233958.75,14369.0
2009,"15,001 to 30,000 Barrels",40,895133.22,750528.77,19808.0
2009,"7,501 to 15,000 Barrels",42,442753.54,388968.45,240.0
2009,"1,001 to 7,500 Barrels",357,859934.81,769155.15,12.0
2009,"1 to 1,000 Barrels",1037,400401.17,371872.85,123.0
2009,Under 1 Barrel,195,3.7,14711.36,119.0
2010,"6,000,001 Barrels and Over",17,160771860.70000002,149598222.82,3659459.0
2010,"1,000,000 to 6,000,000 Barrels",5,15450769.1,14777149.880000005,37401.0
2010,"500,001 to 1,000,000 Barrels",9,7138171.64,6362275.190000001,16610.0
2010,"100,001 to 500,000 Barrels",32,6123725.23,5127607.785000001,254925.0
2010,"60,001 to 100,000 Barrels",16,1226091.75,1034161.388,12534.0
2010,"30,001 to 60,000 Barrels",38,1544051.1,1256492.475,42409.0
2010,"15,001 to 30,000 Barrels",40,911065.75,781016.1499999999,19077.0
2010,"7,501 to 15,000 Barrels",51,560159.3400000001,465843.8800000001,4521.0
2010,"1,001 to 7,500 Barrels",428,1059505.1630000006,962969.633,2227.0
2010,"1 to 1,000 Barrels",1178,426003.3829999997,393941.57000000007,1279.0
2011,"6,000,001 Barrels and Over",16,138963353.84,128108304.25,3578089.0
2011,"1,000,000 to 6,000,000 Barrels",5,17703591.0,16695626.31,84271.0
2011,"1,000,000 to 6,000,000 Barrels",9,13524548.35,12843570.78,363998.0
2011,"500,001 to 1,000,000 Barrels",11,8448633.99,7946481.070000001,50702.0
2011,"100,001 to 500,000 Barrels",41,7926808.210000002,6624765.180000001,242865.0
2011,"60,001 to 100,000 Barrels",16,1157839.9,1059934.77,11701.0
2011,"30,001 to 60,000 Barrels",43,1754234.5499999996,1476996.368,52204.0
2011,"15,001 to 30,000 Barrels",42,893273.36,710825.6200000003,40413.0
2011,"7,501 to 15,000 Barrels",63,662095.4599999998,577424.6699999999,270.0
2011,"1,001 to 7,500 Barrels",513,1254333.7459999989,1126835.8209999993,930.0
2011,"1 to 1,000 Barrels",1334,458109.82800000056,416612.2820000001,580.0
2012,"6,000,001 Barrels and Over",17,157780750.14999998,145588666.77,4373957.0
2012,"1,000,000 to 6,000,000 Barrels",3,11735116.0,11489249.17,151766.0
2012,"1,000,000 to 6,000,000 Barrels",5,6864214.06,6526545.8100000005,75749.0
2012,"500,001 to 1,000,000 Barrels",7,4654830.640000001,3809078.8700000006,4634.0
2012,"100,001 to 500,000 Barrels",39,7810357.340000001,6085448.829999999,236207.0
2012,"60,001 to 100,000 Barrels",20,1468172.4599999995,1250720.93,97318.0
2012,"30,001 to 60,000 Barrels",50,2179429.59,1858876.3530000004,62416.0
2012,"15,001 to 30,000 Barrels",44,913884.27,764190.6,13281.0
2012,"7,501 to 15,000 Barrels",77,821100.636,715087.6699999999,11054.0
2012,"1,001 to 7,500 Barrels",564,1402600.6719999998,1249661.1660000016,3610.0
2012,"1 to 1,000 Barrels",1604,516746.493,459217.4919999999,1220.0
2013,"6,000,001 Barrels and Over",17,153023498.63,141659034.45,4385750.0
2013,"1,000,000 to 6,000,000 Barrels",4,13394409.41,12862214.07,495472.0
2013,"1,000,000 to 6,000,000 Barrels",4,4821249.3,4665737.17,35344.0
2013,"500,001 to 1,000,000 Barrels",7,4797758.09,4476211.0,4972.0
2013,"100,001 to 500,000 Barrels",38,7637584.410000003,6147217.429999999,275310.0
2013,"60,001 to 100,000 Barrels",24,1824548.27,1608488.44,24431.0
2013,"30,001 to 60,000 Barrels",52,2271814.7,1909650.87,58028.0
2013,"15,001 to 30,000 Barrels",51,1087970.73,921515.3940000004,18103.0
2013,"7,501 to 15,000 Barrels",81,842820.06,740591.8100000002,6428.0
2013,"1,001 to 7,500 Barrels",645,1693579.7260000012,1479648.9960000005,6369.0
2013,"1 to 1,000 Barrels",1923,602141.4229999988,528020.2790000004,922.0
2014,"6,000,001 Barrels and Over",15,138677888.13,127713535.8,4331255.0
2014,"1,000,000 to 6,000,000 Barrels",6,25151895.32,23845947.59,610799.0
2014,"1,000,000 to 6,000,000 Barrels",5,6055336.28,5863392.69,43468.0
2014,"500,001 to 1,000,000 Barrels",6,3836841.48,3593230.9800000004,9185.0
2014,"100,001 to 500,000 Barrels",44,9093514.820000002,7116673.804000002,344448.0
2014,"60,001 to 100,000 Barrels",20,1548669.55,1383528.0200000005,20895.0
2014,"30,001 to 60,000 Barrels",62,2639561.5529999994,2301357.795,40785.0
2014,"15,001 to 30,000 Barrels",62,1310960.0899999996,1070829.9089999998,71296.0
2014,"7,501 to 15,000 Barrels",102,1042199.4199999996,916679.905,22024.0
2014,"1,001 to 7,500 Barrels",730,1959533.497,1701354.3969999987,12954.0
2014,"1 to 1,000 Barrels",2321,698737.8779999996,607290.333,1547.0
2015,"6,000,001 Barrels and Over",15,136122437.44,124274009.86,4949737.0
2015,"1,000,000 to 6,000,000 Barrels",6,23939648.17,23001189.23,731500.0
2015,"1,000,000 to 6,000,000 Barrels",4,4997347.64,4983601.48,50188.0
2015,"500,001 to 1,000,000 Barrels",7,5050717.11,4821272.06,16414.0
